1,2,3,5,9,10,11,12,22,23,24,,
658,PMR0013169,Matara,Rotamba,Primary Medical Care Unit,Pasgoda,,2,"PMCU, Rotumba",041-3444959,rotumbapmcu@gmail.com ,,
659,PMR0013177,Matara,Tellijjawila,Primary Medical Care Unit,Malimbada,,2,"PMCU, Telijjavila",041-3400809,pmcuthelijjawila@gmail.com ,,
660,PMR0013185,Matara,Thihagoda,Primary Medical Care Unit,Thihagoda,,2,"PMCU, Thihagoda",041-3444958,pmcuthihagida@gmail.com ,,
661,PMR0013193,Matara,Yatiyana,Primary Medical Care Unit,Thihagoda,,2,"PMCU, Yatiyana",041-3444953,yatiyanapmcu@gmail.com ,,
662,PMR0013375,Matara,Makadura,ADC,Mulatiyana,,2,"Dental Surgeon, ADC, Makandura.",,,,
663,PMR0013383,Matara,Thelijjiwila,ADC,Malimbada,,2,"Dental Surgeon, ADC , Thelijjaeila.",,,,
664,PMR0013201,Matara,Akuressa,MOH,Akuressa,,2,"MOH Office, Akuressa",041-2284412,mohakuressa@gmail.com,,
665,PMR0013219,Matara,Athuraliya,MOH,Athuraliya,,2,"MOH Office, Athuraliya",041-2284048,athuraliyam@yahoo.com,,
666,PMR0013227,Matara,Deniyaya / Kotapola,MOH,Katapola,,2,"MOH Office, Kotapola",041-2273717,mohkotapola@gmail.com,,
667,PMR0013235,Matara,Devinuwara,MOH,Devinuwara,,2,"MOH Office, Devinuwara",041-2226763,mohdevinuwara763@gmail.com,,
668,PMR0013243,Matara,Dikwella,MOH,Dikwella,,2,"MOH Office, Dickwella",041-2255100,dikwellamoh@gmail.com,,
669,PMR0013250,Matara,Hakmana,MOH,Hakmana,,2,"MOH Office, Hakmana",041-2286578,mohhakmana@yahoo.com,,
670,PMR0013268,Matara,Kamburupitiya,MOH,Kamburupitiya,,2,"MOH Office, Kamburupitiya",041-2292559,mkamburupitiya@yahoo.com,,
671,PMR0013276,Matara,Kirinda-Puhulwella,MOH,Kirinda - Puhulwella,,2,MOH Office' Kirinda Puhulwella,041-2288261,mohkirinda.ms@gmail.com,,
672,PMR0013284,Matara,Malimbada,MOH,Malimbada,,2,"MOH Office, Malimboda",041-2240428,malimbadamoh@gmail.com,,
673,PMR0013292,Matara,Matara MC,MOH,Matara MC,,2,"MOH Office, Kaliyadasa Road, Matara",041-2222278,mcmataramoh@gmail.com     ,,
674,PMR0013300,Matara,Matara PS Kekanadura,MOH,Matara PS Kekanadura,,2,"MOH Office, Pradeshiya Sabawa, Kekanadura",041-2265278,mohpsmatara@gmail.com,,
675,PMR0013318,Matara,Morawaka,MOH,Morawaka,,2,"MOH Office, Morawaka",041-2282376,morawakamoh@gmail.com,,
676,PMR0013326,Matara,Mulatiyana,MOH,Mulatiyana,,2,"MOH Office, Mulatiyana",041-2268387,moh.mulatiyana.mr@gmail.com ,,
677,PMR0013334,Matara,Pasgoda / Urubokka,MOH,Pasgoda/ Urubokka,,2,"MOH Office, Pasgoda",041-2272332,moh.pasgoda@yahoo.com,,
678,PMR0013342,Matara,Thihagoda,MOH,Thihagoda,,2,"MOH Office, Thihagoda",041-2245755,mohthihagoda@gmail.com,,
679,PMR0013359,Matara,Weligama,MOH,Weligama,,2,"MOH Office, Weligama",041-2250278,mohweligama2020@gmail.com,,
680,PMR0013367,Matara,Welipitiya,MOH,Welipitiya,,2,"MOH Office, Welipitiya ",041-2254154,mohwelipitiya@gmail.com,,
681,PMR0012831,Matara,Matara,RDHS,Matara MC,,2,"RDHS Office, Paraduwa Road, Matara",041-2222154     /       041-2222278,planingunitmatara@gmail.com ,,
682,,Matara,Anti filaria Campaign Matara,Other,Matara MC,,2,"Anti filaria Campaign, Fort, Matara",041-2222004,afumatara@gmail.com,,
683,,Matara,Anti Rabies Campaign Fort Matara,Other,Matara MC,,2,"Anti Rabies Campaign, Paramulla Road, Matara",041-2222154,rabies.matara@gmail.com,,
684,,Matara,Drug stores Polhena Matara/Regional Medical Supply Division,Other,Matara MC,,2,"Drug stores Paramulla Road, Matara",041-2222260,rmsdmatara@gmail.com ,,
685,,Matara,Leprosy Campaign,Other,Matara MC,,2,"Leprosy Campaign, RDHS Office Paramulla Road, Matara",041-2222154,Leprosy.matara@gmail.com ,,
686,,Matara,Malariya Unit,Other,Matara MC,,2, -,,,,
1764,PMR0013094,Matara,Kapugama Pallawela,Primary Medical Care Unit,Devinuwara,,2,PMCU Kapugama,,pmcukapugama@gmail.com ,,
1765,LMR0001081,Matara,NTS Matara,NTS,,,1,Matara,041-2232621,ntsmatar215@gmail.com,,
1782,,Matara,Kamburugamuwa,District General Hospital,Weligama,Matara & Kamburugamuwa are separate institutions but  count as one institution,1,"New General Hospital, Kamburugamuwa, Matara",041-2235712 -13,,,
2009,,Matara,Bio Medical Engineering Unit,Other,New,,2,,,,,
2010,,Matara,Mobile Dental Unit,Other,New,,2,,,,,
2037,,Matara,Mental Health Resource Centre,Other,New,,2,,041-2222154,,,
687,LHT0000760,Hambantota,Hambantota,District General Hospital,Hambantota,,1,Genaral Hospital - Hambantota,047-2220261   /   047-2256402-03,,,
688,PHT0006510,Hambantota,Tangalle,Base Hospital-Type A,Tangalle,,2,Base Hospital-Tangalle.,047-2240261,basehospitaltangalle2018@gmail.com,,
689,PHT0006528,Hambantota,Tissamaharama,Base Hospital-Type B,Thissamaharama,,2,Base Hospital-Tissamaharama.,047-2237261,admnbhthissa@gmail.com,,
690,PHT0006536,Hambantota,Walasmulla,Base Hospital-Type B,Walasmulla,,2,Base Hospital-Walasmulla.,047-2245261,bhbwalasmulla@gmail.com,,
691,PHT0006544,Hambantota,Ambalantota,Divisional Hospital-Type B,Ambalantota,,2,Divisional Hospital-Ambalantota.,047-2223261,dhambalantota@gmail.com  ,,
692,PHT0006569,Hambantota,Beliatta,Divisional Hospital-Type B,Beliatta,,2,Divisional Hospital-Beliatta.,047-2243261,beliattahospital@gmail.com   ,,
693,PHT0006577,Hambantota,Kariyamaditta,Divisional Hospital-Type B,Angunakolapelessa,,2,Divisional Hospital-Kariyamaditta., 047-2247262,kariyamadittadh@yahoo.com ,,
694,PHT0006585,Hambantota,Katuwana,Divisional Hospital-Type B,Katuwana,,2,Divisional Hospital-Katuwana., 047-2247264,districthospitalkauwana@gmail.com,,
695,PHT0006593,Hambantota,Kirinda,Divisional Hospital-Type B,Tissamaharama,,2,Divisional Hospital-Tissa - Kirinda.,047-3488371,kirindathissamaharama2006@gmail.com,,
696,PHT0006601,Hambantota,Lunugamwehera,Divisional Hospital-Type B,Lunugamvehera,,2,Divisional Hospital-Lunugamwehera.,047-2237061,rhlunugamwehera@gmail.com,,
697,PHT0006619,Hambantota,Sooriyawewa,Divisional Hospital-Type B,Sooriyawewa,,2,Divisional Hospital-Sooriyawewa.,047-2289061,sooriyawewadh@gmail.com,,
698,PHT0006627,Hambantota,Weeraketiya,Divisional Hospital-Type B,Weerakatiya,,2,Divisional Hospital-Weeraketiya.,047-2246260,dhweeraketiya@gmail.com,,
699,PHT0006551,Hambantota,Angunukolapelessa,Divisional Hospital-Type B,Angunakolapelessa,,2,Divisional Hospital-Angunakolapelessa.,047-2228260,dhaa9552@gmail.com,,
700,PHT0006635,Hambantota,Beligalla (Upper),Divisional Hospital-Type C,Beliatta,,2,Divisional Hospital-Beligalla (Upper).,047-2243629,dhbeligalla@gmail.com,,
701,PHT0006643,Hambantota,Beragama,Divisional Hospital-Type C,Hambantota,,2,Divisional Hospital-Beragama.,,dhberagama@gmail.com  ,,
702,PHT0006650,Hambantota,Gonadeniya,Divisional Hospital-Type C,Weerakatiya,,2,Divisional Hospital-Gonadeniya.,047-5673377,dhgonadeniya@gmail.com ,,
703,PHT0006668,Hambantota,Hakuruwela,Divisional Hospital-Type C,Angunakolapelessa,,2,Divisional Hospital-Hakuruwela.,047-3489161,jayantha.hp@gmail.com,,
704,PHT0006676,Hambantota,Kirama,Divisional Hospital-Type C,Walasmulla,,2,Divisional Hospital-Kirama.,047-2245260,divisionalhospitalkirama@gmail.com ,,
705,PHT0006684,Hambantota,Middeniya,Divisional Hospital-Type C,Katuwana,,2,Divisional Hospital-Middeniya.,047-2247261,dhmiddeniya123@gmail.com ,,
706,PHT0006692,Hambantota,Nakulugamuwa,Divisional Hospital-Type C,Tangalle,,2,Divisional Hospital-Nakulugamuwa.,047-2255262,dhnakulugamuwa@gmail.com ,,
707,PHT0006700,Hambantota,Ranna,Divisional Hospital-Type C,Tangalle,,2,Divisional Hospital-Ranna.,047-2226061,dhcrannahospital@gmail.com ,,
708,,Hambantota,Chest Clinic-Hambanthota,Chest Clinic,Hambantota,,2,Chest Clinic-Hambanthota, 047-2220574,dtcohbt@gmail.com ,,
709,,Hambantota,STD/ AIDS Clinic-Hambanthota,STD Clinic,Hambantota,,2,STD/ AIDS Clinic-Hambanthota,047-2222247,stdclinic.hambantota@gmail.com,,
710,PHT0006718,Hambantota,Abesekaragama,Primary Medical Care Unit,Angunakolapelessa,,2,"Primary Medical Care Unit-Abesekaragama,Andunakolapelessa.", ,,,
711,PHT0006726,Hambantota,Bandagiriya,Primary Medical Care Unit,Hambantota,,2,Primary Medical Care Unit-Bandagiriya., ,,,
712,PHT0006734,Hambantota,Beralihera,Primary Medical Care Unit,Lunugamvehera,,2,"Primary Medical Care Unit-Beralihela,Tissa.", ,,,
713,,Hambantota,Elalla,Primary Medical Care Unit,Hambantota, ,2,Primary Medical Care Unit-Ellalla,,,,
714,PHT0006759,Hambantota,Galpoththayaya,Primary Medical Care Unit,Weerakatiya,,2,Primary Medical Care Unit-Galpoththayaya., ,,,
715,PHT0006767,Hambantota,Getamanna,Primary Medical Care Unit,Beliatta,,2,Primary Medical Care Unit-Getamanna., ,,,
716,PHT0006775,Hambantota,Matthala,Primary Medical Care Unit,Lunugamvehera,,2,Primary Medical Care Unit-Matthala.,,,,
717,PHT0006783,Hambantota,Palathuduwa,Primary Medical Care Unit,Tangalle,,2,"Primary Medical Care Unit-Palathuduwa,Tangalle.", ,,,
718,PHT0006791,Hambantota,Ridiyagama,Primary Medical Care Unit,Ambalanthota,,2,"Primary Medical Care Unit-Ruhunu Ridiyagama, Ambalantota.", ,,,
719,PHT0006809,Hambantota,Samadigama,Primary Medical Care Unit,Ambalanthota,,2,"Primary Medical Care Unit-Samadigama, Ambalantota.",,,,
720,PHT0006817,Hambantota,Uduwila,Primary Medical Care Unit,Tissamaharama,,2,"Primary Medical Care Unit-Uduwila, Tissa.",047-2237388,,,
721,PHT0006833,Hambantota,Warapitiya,Primary Medical Care Unit,Walasmulla,,2,Primary Medical Care Unit-Warapitiya., ,,,
722,PHT0006841,Hambantota,Wilemulla,Primary Medical Care Unit,Tissamaharama,,2,"Primary Medical Care Unit-Wilamulla, Tissa.", ,,,
723,PHT0006825,Hambantota,Vitharandeniya,Primary Medical Care Unit,Tangalle,,2,Primary Medical Care Unit-Vitharandeniya., ,,,
724,,Hambantota,Agunakolapalassa,ADC,Agunakolapalassa,,2,Adult Dental Clinic - Angunakolapelessa,,,,
725,,Hambantota,Sooriyawewa,ADC,Sooriyawewa,,2,Adult Dental Clinic - Sooriyawewa,,,,
726,PHT0007005,Hambantota,St. Marys College,ADC,Hambantota,,2,"Adolescent Dentol Clinic,St-Mary College,Hambantota.",,,,
727,PHT0006866,Hambantota,Ambalanthota,MOH,Ambalanthota,,2,MOH- Ambalanthota.,047-2225053,ambalantotamoh@yahoo.com,,
728,PHT0006874,Hambantota,Angunakolapelessa,MOH,Angunakolapelessa,,2,MOH- Angunukolapelessa.,047-2228261,mohofficeap@gmail.com,,
729,PHT0006882,Hambantota,Beliatta,MOH,Beliatta,,2,MOH- Beliatta.,047-2243718,mohbeliatta@gmail.com,,
730,PHT0006890,Hambantota,Hambantota,MOH,Hambantota,,2,MOH- Hambantota.,047-2256561,mohhambantota@gmail.com ,,
731,PHT0006908,Hambantota,Katuwana,MOH,Katuwana,,2,MOH- Katuwana.,047-2247361,mohkatuwanasp@gmail.com,,
732,PHT0006916,Hambantota,Lunugamvehera,MOH,Lunugamvehera,,2,MOH- Lunugamwhera.,047-2238014,mohlunugamwehera@gmail.com ,,
733,PHT0006924,Hambantota,Okewela,MOH,Okewela,,2,MOH-Okewela.,047-2254176,mohokewela@gmail.com,,
734,PHT0006932,Hambantota,Sooriyawewa,MOH,Sooriyawewa,,2,MOH- Sooriyawewa.,047-2289062,tissamaharamamoh@gmail.com ,,
735,PHT0006940,Hambantota,Tangalle,MOH,Tangalle,,2,MOH- Tangalle.,047-2240278,mohofficetangalle1@gmail.com,,
736,PHT0006957,Hambantota,Thissamaharama,MOH,Tissamaharama,,2,MOH- Tissamaharama.,047-2237184,tissamaharamamoh@gmail.com ,,
737,PHT0006965,Hambantota,Walasmulla,MOH,Walasmulla,,2,MOH- Walasmulla,047-2245278,mohwalasmulla@gmail.com,,
738,PHT0006973,Hambantota,Weeraketiya,MOH,Weerakatiya,,2,MOH- Weeraketiya.,047-2246130,mohweer11@gmail.com ,,
739,PHT0006502,Hambantota,Hambantota,RDHS,Hambantota,,2,"RDHS- Mirijjawila,Hambantota.", 047-2222328,rdhshambantota@gmail.com,,
740,LHT0000778,Hambantota,NTS Hambantota,NTS,Hambantota,,1,NTS-Hambantota.,047-2222407,,,
741,,Hambantota,Anti Leprosy Campaign-Hambanthota,Other,Hambantota,,2,"Anti Leprosy Campaign-Reagional Derector Health Service Office,Mirijjavila,Hambanthota.",047-2220381,,,
742,,Hambantota,Anti Rabies Campaign-Hambanthota,Other,Hambantota,,2,"Anti Rabies Campaign-Reagional Derector Health Service Office,Mirijjavila,Hambanthota.",047-2220381,,,
743,,Hambantota,Malariya Control Unit-Hambanthota,Other,Hambantota,,2,"Malariya Control Unit-Mirijjavila,Hambanthota.", ,antimalariaham@gmail.com ,,
1717,PHT0006858,Hambantota,Ruhunusuwa Niwahana (Mental Rehabilitaion Hospital),Other Specialized Hospital,Ambalantota,,2,"Ruhunusuwa Niwahana,Ruhunu Ridiyagama,Ambalantota.", ,,,
1812,,Hambantota,RMSD - Hambantota,Other,Hambantota,,2,"Drug stores-Reagional Derector Health Service Office,Mirijjavila,Hambantota",047-2221534,rmsdhambantota@gmail.com ,,
2020,,Hambantota,SLAF Station Weerawila,Air Force Hospital,New,,3,,047-2237169,,,
744,LJF0000786,Jaffna,Jaffna,Teaching Hospital,Jaffna,,1,,021-2263261,,,
745,PJF0007047,Jaffna,Point Pedro,Base Hospital-Type A,Point Pedro,,2,"Manthikai, Point Pedro",021-2263261,bhpointpedroplanningunit@gmail.com,,
746,PJF0007054,Jaffna,Tellipallai,Base Hospital-Type A,Tellipallai,,2,"Vallai - Thellipalai,  Araly Road, Tellipalai",021-2059228,b.h.tellippalai@gmail.com,,
747,PJF0007062,Jaffna,Chavakachcheri,Base Hospital-Type B,Chavakachcheri,,2,"A9 Road, Chavakachcheri",021-2270661,bhchava24@gmail.com,,
748,PJF0007070,Jaffna,Kayts,Base Hospital-Type B,Kayts,,2,"Jaffna Pannai, Kayts Road, Kayts",021-2211666,kaytshospital@gmail.com,,
749,PJF0007088,Jaffna,Atchuveli,Divisional Hospital-Type B,Kopay,,2,"Avarankal - Thondamanar Road, Atchuvely",021-2058047,dhatchuvely@gmail.com,,
750,PJF0007096,Jaffna,Chankanai,Divisional Hospital-Type B,Chankanai,,2,"Hospital Road, Chankanai",021-2250079,dhchankanai@gmail.com,,
751,PJF0007104,Jaffna,Kopay,Divisional Hospital-Type B,Kopay,,2,"Manipay - Kaithady Road, Kopay Centre, Kopay",021-2230070,jdhkopay@gmail.com        ,,
752,PJF0007112,Jaffna,Velvetiturai,Divisional Hospital-Type B,Point Pedro,,2," Jaffna - Ponnalai, Pointpedro Road, Urani, Valvettithurai",021-2263530,divisionalhospitalvvt@gmail.com,,
753,PJF0007120,Jaffna,Alaveddy,Divisional Hospital-Type C,Tellipallai,,2,"Kadduvan - Mallakam, Changanai Road, Alaveddy",021-2242060,dhalaveddy@gmail.com,,
754,PJF0007138,Jaffna,Ampan,Divisional Hospital-Type C,Maruthankery,,2,"Pointpedro - Maruthankerny Road, Ampan",021-3207156,dhc.ampan@gmail.com,,
755,PJF0007146,Jaffna,Analativu,Divisional Hospital-Type C,Kayts,,2,"Ward No. 3, Analaitivu",021-3213584,dh.analaitivu@gmail.com,,
756,PJF0007153,Jaffna,Delft,Divisional Hospital-Type C,Velanai,,2,"Main Road, Ward 6, Delft",021-2215220,divisionalhospital.delft@gmail.com,,
757,PJF0007161,Jaffna,Gurunagar,Divisional Hospital-Type C,Jaffna,,2,"Beach Road, Gurunagar",021-2220678,dhgurunagar@gmail.com,,
758,PJF0007195,Jaffna,Karaveddi,Divisional Hospital-Type C,Karaveddi,,2,"Ilakkadi Lane, Karaveddi Centre, Karaveddy",021-2264608,divisionalhospitalkvd@gmail.com,,
759,PJF0007187,Jaffna,Karaiyanagar,Divisional Hospital-Type C,Karainagar,,2,"Circular Road, Karainagar",021-2251745,dhkarainagar@gmail.com,,
760,PJF0007203,Jaffna,Kodikamam,Divisional Hospital-Type C,Chavakachcheri,,2,"A9 Road, Kodikamam",021-2050121,dhkodikamam1@gmail.com,,
761,PJF0007211,Jaffna,Kondavil,Divisional Hospital-Type C,Nallur,,2,"Station Road, Kondavil East, Kondavil",021-2053701,dh.kondavil@gmail.com,,
762,PJF0007229,Jaffna,Mandaitivu,Divisional Hospital-Type C,Velanai,,2,"Ward No 6, Mandaithivu",021-3001231,dh.mandaitivu@gmail.com,,
763,PJF0007237,Jaffna,Manipay,Divisional Hospital-Type C,Sandilipay,,2,"Hospital Road, Anaikoddai",021-2255960,dhmanipay@gmail.com,,
764,PJF0007245,Jaffna,Maruthankerney,Divisional Hospital-Type C,Maruthankerny,,2,"Soranpattu - Thalaiyady  Road, Maruthankerney",021-2260505,dhmaruthankerny@gmail.com,,
765,PJF0007252,Jaffna,Nainativu,Divisional Hospital-Type C,Velanai,,2,"Main Street, Nainativu",021-3213583,dh.nainativu@gmail.com,,
766,PJF0007260,Jaffna,Pandatheripu,Divisional Hospital-Type C,Chankanai,,2,"Paanaveddy Veethy, Pandatherippu",021-3213585,dh.pandatharippu@gmail.com,,
767,PJF0007278,Jaffna,Pungudutivu,Divisional Hospital-Type C,Velanai,,2,"Hospital Road, Punguduthivu",021-3205759,dhpungudutivu2020@gmail.com,,
768,PJF0007286,Jaffna,Vaddukoddai,Divisional Hospital-Type C,Chankanai,,2,"Kaladdy Lane, Vaddukoddai",021-2251572,vaddukoddai.dh@gmail.com,,
769,PJF0007294,Jaffna,Varany,Divisional Hospital-Type C,Chavakachcheri,,2,"Puloy - Koddikamam, Kachchai Road, Varany",021-2050804,varny.dh@gmail.com,,
770,PJF0007302,Jaffna,Velanai,Divisional Hospital-Type B,Velanai,,2,"Chady - Vankalavadi Road, Ward No. 1, Velanai East, Velanai",021-2211556,velanai.dh@gmail.com,,
772,,Jaffna,Chest Clinic-Jaffna,Chest Clinic,Jaffna,,2,"Chest Clinic ,  Health Village, Pannai",021-2222494,dtcojfa@gmail.com,,
773,PJF0007310,Jaffna,Chunnakkam,Primary Medical Care Unit,Uduvil,,2,"Sivapoothavaraiyar Lane, Chunnakam South, Chunnakam",021-2242061,pmcu.chunnakam@gmail.com,,
774,PJF0007336,Jaffna,Erlalai,Primary Medical Care Unit,Uduvil,,2,"Kannagai Amman Road, Erlalai North, Erlalai",021-2059129,pmcu.erlalai@gmail.com,,
775,PJF0007179,Jaffna,Ilavalai,Divisional Hospital-Type C,Tellipallai,New wards constructed & indoor functioning,2,"Sandilipay - Senthankulam Road,  Illavalai",021-2211937,dhilavalaijaffna@gmail.com,,
776,PJF0007344,Jaffna,Inuvil,Primary Medical Care Unit,Uduvil,,2,"Vanniyasingam Veethy, Inuvil South, Inuvil",021-2241839,inuvil.pmcu@gmail.com,,
777,PJF0007369,Jaffna,Kaithady,Primary Medical Care Unit,Chavakachcheri,,2,"A9 Road, Kaithady",021-2057107,pmcu.kaithady@gmail.com,,
778,,Jaffna,Kankesanthurai,Primary Medical Care Unit,Tellipallai,,2,"Ponnalai - Pointpedro Road, Myliddy North, Myliddy",077-3618121,,,
779,PJF0007385,Jaffna,Kokuvil,Primary Medical Care Unit,Nallur,,2,"Near  Library, Adiyapathm Road, Kokuvil",021-2212344,pmcu.kokuvil@gmail.com,,
780,,Jaffna,Mulliyan,Primary Medical Care Unit,Maruthankerny,,2,"Nithiyavaddai, Mulliyan",021-3203796,pmcu.mulliyan@gmail.com,,
781,PJF0007419,Jaffna,Palaly (Kurumpasiddy),Primary Medical Care Unit,Tellipallai,,2,"Amman Kovil Road, Kurumbasiddy East, Kurumpasiddy",021-3216572,pmcu.kurumpasiddy@gmail.com,,
782,PJF0007427,Jaffna,Point Pedro,Primary Medical Care Unit,Point Pedro,,2,"Thumpalai Road, Point pedro",021-2261075,pmcu.pointpedro@gmail.com,,
783,PJF0007435,Jaffna,Punnalaikkadduvan,Primary Medical Care Unit,Uduvil,,2,"Arivoli Community Centre Road, Punnalaikadduvan South, Punnalaikadduvan",021-2213703,pmcu.punnalaikadduvan@gmail.com,,
784,PJF0007443,Jaffna,Puttur,Primary Medical Care Unit,Kopay,,2,"Putur - Meesalai Road, Putur Junction, Puttur",021-2058841,pmcu.puttur@gmail.com,,
785,PJF0007450,Jaffna,Tholpuram,Primary Medical Care Unit,Chankanai,,2,"Jaffna -Manipai, Karainagar  Road, Chulipuram ",021-2250733,pmcu.tholpuram@gmail.com,,
786,PJF0007468,Jaffna,Uduvil,Primary Medical Care Unit,Uduvil,,2,"Manipay - Kaithady Road, Aladi, Uduvil",021-2255247,pmcu.uduvil@gmail.com,,
787,PJF0007476,Jaffna,Urumpirai,Primary Medical Care Unit,Kopay,,2,"Plaly Road, Urumpirai",021-2231061,pmcu.urumpirai@gmail.com,,
788,PJF0007484,Jaffna,Vaddukoddai,Primary Medical Care Unit,Chankanai,,2,"Vilathi Thodda Veethi, Vaddukodai South,Vaddukoddai ",021-2250808,pmcu.vaddukoddai@gmail.com,,
789,PJF0007625,Jaffna,St. Johns College-Jaffna,ADC,Jaffna,,2,"J/St.Johns College, Jaffna.",778684454,,,
791,PJF0007500,Jaffna,Chankanai,MOH,Chankanai - Valikamam West,,2,"Hospital Road, Chankanai",021-2250732,mohchankanai@gmail.com,,
792,PJF0007518,Jaffna,Chavakachchari,MOH,Chavakachcheri,,2,"Dutch Road, Chavakachcheri",021-2270014,mohchava@gmail.com,,
793,PJF0007526,Jaffna,Jaffna,MOH,Jaffna,,2,"No.454, Pointpedro, Road, Nallur",021-2222645,jaffnamohmc@gmail.com,,
794,PJF0007534,Jaffna,Karaveddy,MOH,Karaveddy,,2,"Illakkadi Lane, Karaveddy Centre, Karaveddy",021-2261006,mohkvd@gmail.com,,
795,PJF0007542,Jaffna,Kayts,MOH,Kayts,,2,"Jaffna - Pannai - Kayts Road, Kayts ",021-2211660,mohkayts18@yahoo.com,,
796,PJF0007559,Jaffna,Kopay,MOH,Kopay,,2,"Maniapay - Kaithady Road, Kopay  Centre, Kopay",021-2231060,kopmoh2012@gmail.com,,
798,PJF0007567,Jaffna,Nallur,MOH,Nallur,,2,"Post Office Lane, Station Road, Kondavil East,  Kondavil",021-2053702,mohnallur@gmail.com,,
799,PJF0007492,Jaffna,Point Pedro,MOH,Point Pedro,,2,"Manthikai, Point pedro",021-2264482,mohpointpedro@gmail.com,,
800,PJF0007575,Jaffna,Sandilipay,MOH,Sandilipay ,,2,"Sandilipay DS Office Lane, Sandilipay Centre, Sandilipay",021-2255248,mohsandilipay@gmail.com,,
801,PJF0007583,Jaffna,Telippalai,MOH,Tellipallai,,2,"Veerapathirar Lane, Vallai  - Tellipalai - Araly Road, Tellipalai",021-2241182,mohtelle@gmail.com,,
802,PJF0007591,Jaffna,Uduvil,MOH,Uduvil,,2," Power Station Road, Chunnakam",021-2241183,mohuduvil@gmail.com,,
803,PJF0007609,Jaffna,Velanai / Island South,MOH,Velanai / Island South,,2,"Chaddy - Vankalavadi Road, Ward 01, Velanai East, Velanai",021-2211555,mohvelanai@gmail.com,,
804,PJF0007039,Jaffna,Jaffna,RDHS,Jaffna,"For relief Duty - 03, Dental Surgenons - 02, RDS - 01",2,"RDHS Office, Jaffna",021-2228968,jaffnaplanning@gmail.com,,
806,LJF0000802,Jaffna,NTS Jaffna,NTS,,,1,"NTS, TH Hospital Jaffna",021-2222736,,,
807,,Jaffna,Anti Malaria Campaign,Other,Jaffna,,2,"AMC Office , Health Vilage, Pannai",021-2227924,rmoamcjaffna@yahoo.com,,
